prod_sku_id,prod_sku_name,prod_brand,market_name
P472,iphone-13,Apple,Apple IPhone 13
P473,iphone-13-promax,Apple,Apply IPhone 13 Pro Max
P474,macbook-pro-13,Apple,Apple Macbook Pro 13''
P475,macbook-air-13,Apple,Apple Makbook Air 13''
P476,ipad,Apple,Apple IPad
P477,ipad-pro,Apple,Apple IPad Pro
P478,galaxy-s21,Samsung,Samsung Galaxy S21
P479,galaxy-s22plus,Samsung,Samsung Galaxy S22+
P480,galaxy-watch4,Samsung,Samsung Galaxy Watch4
P481,galaxy-tab-a,Samsung,Samsung Galaxy Tab A
P482,galaxy-tab-s8,Samsung,Samsung Galaxy Tab 8
P483,xps-13,Dell,Dell XPS13
P484,inspiron-13,Dell,Dell Inspiron 13
P485,powershot-g7,Canon,Canon PowerShot G7 X Mark III
P486,hero-10,GoPro,GoPro Hero 10
P487,max,GoPro,GoPro Max
P488,charge-5,JBL,JBL Charge 5
P489,tuner-xl,JBL,JBL Tuner XL
Terms and Conditions|Privacy Policy,,,
